1,0,1
2,0,1
3,0,2
4,0,3
5,0,5
6,0,8
7,0,13
8,0,21
9,0,34
10,0,55
11,10,89
12,10,144
13,10,233
14,10,377
15,10,610
16,10,987
17,10,1597
18,10,2584
19,10,4181
20,10,6765
21,0,10946
22,0,17711
23,0,28657
24,0,46368
25,0,75025
26,0,121393
27,0,196418
28,0,317811
29,0,514229
30,0,832040
31,10,1346269
32,10,2178309
33,10,3524578
34,10,5702887
35,10,9227465
36,10,14930352
37,10,24157817
38,10,39088169
39,10,63245986
40,10,102334155
41,0,165580141
42,0,267914296
43,0,433494437
44,0,701408733
45,0,1134903170
46,0,1836311903
47,0,2971215073
48,0,4807526976
49,0,7778742049
50,0,12586269025
51,10,20365011074
52,10,32951280099
53,10,53316291173
54,10,86267571272
55,10,139583862445
56,10,225851433717
57,10,365435296162
58,10,591286729879
59,10,956722026041
60,10,1548008755920
61,0,2504730781961
62,0,4052739537881
63,0,6557470319842
64,0,10610209857723
65,0,17167680177565
66,0,27777890035288
67,0,44945570212853
68,0,72723460248141
69,0,117669030460994
70,0,190392490709135
71,10,308061521170129
72,10,498454011879264
73,10,806515533049393
74,10,1.30497E+15
75,10,2.11149E+15
76,10,3.41645E+15
77,10,5.52794E+15
78,10,8.94439E+15
79,10,1.44723E+16
80,10,2.34167E+16
81,0,3.78891E+16
82,0,6.13058E+16
83,0,9.91949E+16
84,0,1.60501E+17
85,0,2.59695E+17
86,0,4.20196E+17
87,0,6.79892E+17
88,0,1.10009E+18
89,0,1.77998E+18
90,0,2.88007E+18
91,10,4.66005E+18
92,10,7.54011E+18
93,10,1.22002E+19
94,10,1.97403E+19
95,10,3.19404E+19
96,10,5.16807E+19
97,10,8.36211E+19
98,10,1.35302E+20
99,10,2.18923E+20
100,10,3.54225E+20
